date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_187_normalized,smart_190_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized
2023-01-07,ZJV37Y5J,ST12000NM0007,12000138625024,0,70.0,89.0,100.0,83.0,67.0,100.0,70.0,100.0,30.0,70.0
2023-01-08,ZJV37Y5J,ST12000NM0007,12000138625024,0,78.0,89.0,100.0,83.0,67.0,100.0,71.0,100.0,29.0,78.0
2023-01-09,ZJV37Y5J,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,83.0,67.0,100.0,71.0,100.0,29.0,83.0
2023-01-10,ZJV37Y5J,ST12000NM0007,12000138625024,0,78.0,89.0,100.0,83.0,67.0,100.0,71.0,100.0,29.0,78.0
2023-01-01,ZJV380Y0,ST12000NM0007,12000138625024,0,77.0,89.0,100.0,82.0,68.0,100.0,71.0,100.0,29.0,77.0
2023-01-02,ZJV380Y0,ST12000NM0007,12000138625024,0,84.0,89.0,100.0,82.0,68.0,100.0,71.0,100.0,29.0,84.0
2023-01-03,ZJV380Y0,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,83.0,68.0,100.0,71.0,100.0,29.0,83.0
2023-01-04,ZJV380Y0,ST12000NM0007,12000138625024,0,79.0,89.0,100.0,83.0,68.0,100.0,72.0,100.0,28.0,79.0
2023-01-05,ZJV380Y0,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,83.0,68.0,100.0,70.0,100.0,30.0,83.0
2023-01-06,ZJV380Y0,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,83.0,68.0,100.0,71.0,100.0,29.0,81.0
2023-01-07,ZJV380Y0,ST12000NM0007,12000138625024,0,72.0,89.0,100.0,83.0,67.0,100.0,71.0,100.0,29.0,72.0
2023-01-08,ZJV380Y0,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,83.0,67.0,100.0,74.0,100.0,26.0,83.0
2023-01-09,ZJV380Y0,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,83.0,67.0,100.0,70.0,100.0,30.0,80.0
2023-01-10,ZJV380Y0,ST12000NM0007,12000138625024,0,80.0,89.0,100.0,83.0,67.0,100.0,70.0,100.0,30.0,80.0
2023-01-01,ZJV38B7G,ST12000NM0007,12000138625024,0,78.0,89.0,100.0,84.0,68.0,100.0,68.0,100.0,32.0,78.0
2023-01-02,ZJV38B7G,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,85.0,68.0,100.0,68.0,100.0,32.0,83.0
2023-01-03,ZJV38B7G,ST12000NM0007,12000138625024,0,84.0,89.0,100.0,85.0,68.0,100.0,68.0,100.0,32.0,84.0
2023-01-04,ZJV38B7G,ST12000NM0007,12000138625024,0,100.0,89.0,100.0,85.0,68.0,100.0,69.0,100.0,31.0,100.0
2023-01-05,ZJV38B7G,ST12000NM0007,12000138625024,0,77.0,89.0,100.0,85.0,68.0,100.0,67.0,100.0,33.0,77.0
2023-01-06,ZJV38B7G,ST12000NM0007,12000138625024,0,84.0,89.0,100.0,85.0,67.0,100.0,69.0,100.0,31.0,84.0
2023-01-07,ZJV38B7G,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,85.0,67.0,100.0,68.0,100.0,32.0,82.0
2023-01-08,ZJV38B7G,ST12000NM0007,12000138625024,0,79.0,89.0,100.0,85.0,67.0,100.0,69.0,100.0,31.0,79.0
2023-01-09,ZJV38B7G,ST12000NM0007,12000138625024,0,84.0,89.0,100.0,85.0,67.0,100.0,67.0,100.0,33.0,84.0
2023-01-10,ZJV38B7G,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,85.0,67.0,100.0,68.0,100.0,32.0,83.0
2023-01-01,ZJV38BMY,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,84.0,68.0,100.0,75.0,100.0,25.0,82.0
2023-01-02,ZJV38BMY,ST12000NM0007,12000138625024,0,77.0,89.0,100.0,84.0,68.0,100.0,75.0,100.0,25.0,77.0
2023-01-03,ZJV38BMY,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,84.0,68.0,100.0,75.0,100.0,25.0,82.0
2023-01-04,ZJV38BMY,ST12000NM0007,12000138625024,0,75.0,89.0,100.0,84.0,68.0,100.0,74.0,100.0,26.0,75.0
2023-01-05,ZJV38BMY,ST12000NM0007,12000138625024,0,77.0,89.0,100.0,84.0,68.0,100.0,74.0,100.0,26.0,77.0
2023-01-06,ZJV38BMY,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,84.0,67.0,100.0,75.0,100.0,25.0,81.0
2023-01-07,ZJV38BMY,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,84.0,67.0,100.0,75.0,100.0,25.0,81.0
2023-01-08,ZJV38BMY,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,84.0,67.0,100.0,74.0,100.0,26.0,81.0
2023-01-09,ZJV38BMY,ST12000NM0007,12000138625024,0,81.0,89.0,100.0,85.0,67.0,100.0,74.0,100.0,26.0,81.0
2023-01-10,ZJV38BMY,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,85.0,67.0,100.0,74.0,100.0,26.0,83.0
2023-01-01,ZJV38DKH,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,86.0,68.0,100.0,67.0,100.0,33.0,83.0
2023-01-02,ZJV38DKH,ST12000NM0007,12000138625024,0,79.0,89.0,100.0,86.0,68.0,100.0,66.0,100.0,34.0,79.0
2023-01-03,ZJV38DKH,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,86.0,68.0,100.0,67.0,100.0,33.0,83.0
2023-01-04,ZJV38DKH,ST12000NM0007,12000138625024,0,82.0,89.0,100.0,86.0,68.0,100.0,67.0,100.0,33.0,82.0
2023-01-05,ZJV38DKH,ST12000NM0007,12000138625024,0,78.0,89.0,100.0,86.0,68.0,100.0,66.0,100.0,34.0,78.0
2023-01-06,ZJV38DKH,ST12000NM0007,12000138625024,0,78.0,89.0,100.0,86.0,67.0,100.0,66.0,100.0,34.0,78.0
2023-01-07,ZJV38DKH,ST12000NM0007,12000138625024,0,100.0,89.0,100.0,87.0,67.0,100.0,66.0,100.0,34.0,100.0
2023-01-08,ZJV38DKH,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,87.0,67.0,100.0,66.0,100.0,34.0,83.0
2023-01-09,ZJV38DKH,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,87.0,67.0,100.0,67.0,100.0,33.0,83.0
2023-01-10,ZJV38DKH,ST12000NM0007,12000138625024,0,83.0,89.0,100.0,87.0,67.0,100.0,65.0,100.0,35.0,83.0
2023-01-01,ZJV38MQE,ST12000NM0007,12000138625024,0,82.0,90.0,100.0,86.0,68.0,100.0,61.0,100.0,39.0,82.0
2023-01-02,ZJV38MQE,ST12000NM0007,12000138625024,0,81.0,90.0,100.0,86.0,68.0,100.0,61.0,100.0,39.0,81.0
2023-01-03,ZJV38MQE,ST12000NM0007,12000138625024,0,82.0,90.0,100.0,86.0,68.0,100.0,60.0,100.0,40.0,82.0
2023-01-04,ZJV38MQE,ST12000NM0007,12000138625024,0,81.0,90.0,100.0,86.0,68.0,100.0,61.0,100.0,39.0,81.0
2023-01-05,ZJV38MQE,ST12000NM0007,12000138625024,0,84.0,90.0,100.0,87.0,68.0,100.0,62.0,100.0,38.0,84.0
